Date	Neutral	Negative	Positive
2011-12-31	0	0	1
2012-01-01	2	1	0
2012-01-02	2	3	1
2012-01-03	14	1	7
2012-01-04	11	0	6
2012-01-05	8	1	3
2012-01-06	11	1	13
2012-01-07	4	0	1
2012-01-08	2	1	2
2012-01-09	14	8	2
2012-01-10	9	2	9
2012-01-11	2	1	6
2012-01-12	3	5	7
2012-01-13	10	0	6
2012-01-14	0	0	7
2012-01-15	2	1	4
2012-01-16	6	1	4
2012-01-17	6	5	6
2012-01-18	25	0	15
2012-01-19	11	0	4
2012-01-20	10	12	2
2012-01-21	0	1	1
2012-01-22	2	1	1
2012-01-23	8	5	4
2012-01-24	10	5	5
2012-01-25	11	2	6
2012-01-26	10	3	5
2012-01-27	11	0	2
2012-01-28	3	0	0
2012-01-29	7	0	1
2012-01-30	21	8	6
2012-01-31	38	35	10
2012-02-01	19	13	5
2012-02-02	15	4	4
2012-02-03	15	1	7
2012-02-04	7	2	2
2012-02-05	2	1	0
2012-02-06	10	5	7
2012-02-07	8	6	8
2012-02-08	12	4	10
2012-02-09	3	9	3
2012-02-10	5	5	10
2012-02-11	0	2	0
2012-02-12	2	0	0
2012-02-13	12	4	10
2012-02-14	21	16	9
2012-02-15	12	8	2
2012-02-16	17	12	10
2012-02-17	7	9	4
2012-02-19	2	0	0
2012-02-20	7	1	1
2012-02-21	8	6	4
2012-02-22	8	5	0
2012-02-23	7	6	2
2012-02-24	5	5	3
2012-02-25	1	0	1
2012-02-26	5	1	0
2012-02-27	3	1	1
2012-02-28	7	1	2
2012-02-29	9	7	0
2012-03-01	11	3	0
2012-03-02	7	0	3
2012-03-03	2	0	0
2012-03-04	2	1	0
2012-03-05	10	1	7
2012-03-06	16	4	13
2012-03-07	11	0	8
2012-03-08	11	1	6
2012-03-09	8	7	2
2012-03-10	3	3	0
2012-03-11	6	4	1
2012-03-12	8	13	1
2012-03-13	6	2	1
2012-03-14	10	6	1
2012-03-15	10	3	3
2012-03-16	6	5	7
2012-03-17	5	2	0
2012-03-18	2	0	0
2012-03-19	17	5	3
2012-03-20	29	8	16
2012-03-21	11	1	5
2012-03-22	17	1	5
2012-03-23	8	4	7
2012-03-24	0	0	1
2012-03-25	5	0	2
2012-03-26	8	2	17
2012-03-27	14	9	16
2012-03-28	19	9	5
2012-03-29	13	6	11
2012-03-30	12	4	5
2012-03-31	0	1	1
2012-04-01	2	2	2
2012-04-02	8	11	2
2012-04-03	10	2	7
2012-04-04	9	6	7
2012-04-05	9	1	1
2012-04-06	4	1	3
2012-04-07	1	3	0
2012-04-08	1	1	0
2012-04-09	6	0	3
2012-04-10	12	2	4
2012-04-11	8	5	7
2012-04-12	6	2	6
2012-04-13	13	3	3
2012-04-14	0	2	0
2012-04-15	5	0	1
2012-04-16	14	4	0
2012-04-17	9	1	3
2012-04-18	9	5	8
2012-04-19	6	2	2
2012-04-20	5	0	1
2012-04-21	6	0	0
2012-04-22	5	1	4
2012-04-23	8	2	3
2012-04-24	11	2	1
2012-04-25	13	3	2
2012-04-26	81	14	35
