Date	Open	High	Low	Close	Volume	Adj Close
31/12/2012	243.75	252.41	242.75	250.87	3419000	250.87
28/12/2012	245.85	247.44	245.05	245.18	1858700	245.18
27/12/2012	248.28	249.35	242.86	248.31	3639300	248.31
26/12/2012	257.15	257.42	248.04	248.63	4152700	248.63
24/12/2012	257.3	259.5	256.96	258.62	984400	258.62
21/12/2012	257.82	258.38	255.74	256.92	4704600	256.92
20/12/2012	258.36	262.41	256.54	261.5	2584600	261.5
19/12/2012	261.3	261.67	257.68	257.99	2300000	257.99
18/12/2012	254.57	263.11	254.57	260.4	4961000	260.4
17/12/2012	249.81	254	249.26	253.86	2277000	253.86
14/12/2012	250.11	251.9	247.79	249.19	2526900	249.19
13/12/2012	251.11	254.54	250.02	251.25	2460200	251.25
12/12/2012	251.07	254.36	250.06	251.76	2628100	251.76
11/12/2012	248.5	253.48	246.65	250.69	4185200	250.69
10/12/2012	253.1	254.78	247.3	247.77	3503800	247.77
07/12/2012	254.14	255.21	252.01	253.27	2170300	253.27
06/12/2012	253	255.17	251.51	253.37	3557900	253.37
05/12/2012	252.44	255.55	250.38	253.96	2852200	253.96
04/12/2012	249.94	253	248.66	252.49	3114700	252.49
03/12/2012	252.54	254.16	250	250.33	2990600	250.33
30/11/2012	250.38	252.65	248.27	252.05	3797400	252.05
29/11/2012	248.05	252.48	247.5	251.27	5310500	251.27
28/11/2012	242.45	247.23	241.5	247.11	2743400	247.11
27/11/2012	243.22	245.67	241.54	243.4	3048500	243.4
26/11/2012	240.39	244.32	238	243.62	4178300	243.62
23/11/2012	239.89	240	236.48	239.88	1776800	239.88
21/11/2012	233.84	238.67	232.75	238.03	2959300	238.03
20/11/2012	230	233.82	229.5	233.78	2771700	233.78
19/11/2012	228.32	232.5	227.45	229.71	3591200	229.71
16/11/2012	221.31	226.25	218.64	225.23	4352800	225.23
15/11/2012	222.3	225.16	218.18	220.6	3404700	220.6
14/11/2012	226.5	227.41	222.51	222.95	3034100	222.95
13/11/2012	225.12	227.9	224.71	226.6	2629800	226.6
12/11/2012	226.59	229.22	225.41	226.47	2128800	226.47
09/11/2012	226.26	230.97	224.6	226.31	3092500	226.31
08/11/2012	232.22	233.45	227.1	227.35	2982400	227.35
07/11/2012	235.65	235.66	229.42	232.06	3624200	232.06
06/11/2012	235.41	237.75	234.45	237.56	2661300	237.56
05/11/2012	232.04	234.83	230.11	234.33	1846100	234.33
02/11/2012	234.01	237.4	232.11	232.42	3374700	232.42
01/11/2012	234.23	234.55	231.34	232.14	3905100	232.14
31/10/2012	236.32	238.7	230.5	232.89	4797600	232.89
26/10/2012	228.6	238.71	226.69	238.24	11367500	238.24
25/10/2012	230.92	230.92	222.92	222.92	6741300	222.92
24/10/2012	235.88	235.94	227.95	228.49	3678700	228.49
23/10/2012	231.05	236.5	230.01	234.31	4430800	234.31
22/10/2012	238.81	238.95	232.32	233.78	4500000	233.78
19/10/2012	245.16	246.82	238.94	240	4395300	240
18/10/2012	247.77	250.91	242.7	244.85	5305300	244.85
17/10/2012	243.37	248.8	243.3	247.49	3302700	247.49
16/10/2012	244.87	245.77	242.08	243.94	2204100	243.94
15/10/2012	242.85	244.78	238.51	244.18	2959800	244.18
12/10/2012	243.18	245.46	241.91	242.36	2203200	242.36
11/10/2012	248	249.3	241.89	244.22	3447300	244.22
10/10/2012	252	252.46	244.01	244.99	3948300	244.99
09/10/2012	258.67	259.35	250.73	250.96	3494800	250.96
08/10/2012	257.67	259.8	255.56	259.06	1762300	259.06
05/10/2012	261.2	261.9	257.49	258.51	2806500	258.51
04/10/2012	256.01	261.52	255.87	260.47	2700400	260.47
03/10/2012	251.21	256.1	249.56	255.92	2745600	255.92
02/10/2012	252.8	253.15	249.03	250.6	2195800	250.6
01/10/2012	255.4	256.16	250.49	252.01	2581200	252.01
28/09/2012	256.14	257	253.2	254.32	2456600	254.32
27/09/2012	250.54	257.4	250.52	256.59	3397400	256.59
26/09/2012	252.4	254.61	248.23	249.67	2920500	249.67
25/09/2012	256.33	258.95	251.03	252.46	4405800	252.46
24/09/2012	255.22	255.6	253	254.8	2707900	254.8
21/09/2012	261.74	262	256.74	257.47	6059300	257.47
20/09/2012	260.03	260.87	258	260.81	2913600	260.81
19/09/2012	259.45	262.84	258.53	261.68	2636800	261.68
18/09/2012	258.48	260.5	257	258.75	2215000	258.75
17/09/2012	261.25	261.25	257	258	2306300	258
14/09/2012	261.4	264.11	259.77	261.27	3666200	261.27
13/09/2012	254.94	262	253.8	260.24	3525600	260.24
12/09/2012	256.5	257.78	253.5	255.63	2273200	255.63
11/09/2012	257.6	257.6	254.26	255.67	2524800	255.67
10/09/2012	259	260	256.82	257.09	2567200	257.09
07/09/2012	253.85	259.42	253.52	259.14	5029500	259.14
06/09/2012	248.23	252.7	247.2	251.38	5361400	251.38
05/09/2012	247.61	248.61	245.3	246.22	2652600	246.22
04/09/2012	248.27	251	244.66	247.88	3950800	247.88
31/08/2012	248.07	249.45	245.5	248.27	3347500	248.27
30/08/2012	246.99	250	245.25	246.22	3647500	246.22
29/08/2012	246.78	247.61	244.59	247.12	1772600	247.12
28/08/2012	243.97	246.78	243	246.11	2742300	246.11
27/08/2012	245.79	247.5	243.12	243.92	2929700	243.92
24/08/2012	241.68	246.87	241.36	245.74	3698800	245.74
23/08/2012	242.14	243.48	239.02	241.2	2453900	241.2
22/08/2012	239.4	244.9	238.8	243.1	2473700	243.1
21/08/2012	240.88	243.85	238.55	239.45	2571500	239.45
20/08/2012	241.37	241.65	238.2	240.35	1889900	240.35
17/08/2012	240.6	243.35	240.47	241.17	3085800	241.17
16/08/2012	237.72	242.82	236.2	241.55	4312100	241.55
15/08/2012	232.26	238.14	232.25	237.42	3264700	237.42
14/08/2012	234.71	236.72	232.62	233.19	2751000	233.19
13/08/2012	232.23	234.37	231	232.44	1997300	232.44
10/08/2012	233.08	234.85	231.43	232.75	1852500	232.75
09/08/2012	233.93	235.99	233.5	234.06	1548100	234.06
08/08/2012	235.29	236.45	233.59	234.38	1534300	234.38
07/08/2012	234.13	238	233.25	236.56	2058300	236.56
06/08/2012	235.56	235.74	233.81	233.99	1843700	233.99
03/08/2012	234.03	236.49	233.03	234.97	2825300	234.97
02/08/2012	230.56	234.34	228.66	230.81	3048100	230.81
01/08/2012	234.14	234.38	230.7	232.09	2543800	232.09
31/07/2012	235.1	236.3	231.61	233.3	3453600	233.3
30/07/2012	237	240.74	234.07	236.09	3736400	236.09
27/07/2012	225.25	238.34	224.5	237.32	11313900	237.32
26/07/2012	220	221.45	214.95	220.01	6937400	220.01
25/07/2012	222	222.5	215.91	217.05	3646700	217.05
24/07/2012	226.27	226.61	221.23	223.04	5008700	223.04
23/07/2012	224.72	226.58	221.54	226.01	5515100	226.01
20/07/2012	225.36	229.39	225.29	228.29	4170000	228.29
19/07/2012	220.73	227.5	220.69	226.17	5449400	226.17
18/07/2012	216.15	218.67	215.71	217.47	2093000	217.47
17/07/2012	217.45	217.94	213.96	216.93	1987000	216.93
16/07/2012	216.6	218.31	214.46	216.01	2004200	216.01
13/07/2012	215.63	219.31	213.88	218.39	2221900	218.39
12/07/2012	216.61	217.3	212.61	215.36	2616200	215.36
11/07/2012	218.95	221.74	215.34	218.37	2734700	218.37
10/07/2012	226.25	227.14	218.28	219.5	2982100	219.5
09/07/2012	225	226	223.45	225.05	1922000	225.05
06/07/2012	226.35	228.9	224.18	225.05	3203200	225.05
05/07/2012	228.62	230.5	226.53	227.06	2682300	227.06
03/07/2012	229.14	229.53	227.59	229.53	1331700	229.53
02/07/2012	229.3	229.34	226.34	229.32	2330700	229.32
29/06/2012	224.7	228.35	223.71	228.35	3614400	228.35
28/06/2012	223.92	224.62	218.75	221.31	2994800	221.31
27/06/2012	225.01	227.5	223.3	225.62	2799200	225.62
26/06/2012	221.45	226.39	221.45	225.61	3754100	225.61
25/06/2012	220.3	221.59	218	220.07	2382300	220.07
22/06/2012	221.83	222.51	219.35	222.16	2187500	222.16
21/06/2012	223.84	226.03	220.52	220.57	2843000	220.57
20/06/2012	224.51	224.74	220.84	223.02	2444400	223.02
19/06/2012	223.26	225.2	221.66	224.03	2716600	224.03
18/06/2012	217.28	223.76	216.73	222.66	3369600	222.66
15/06/2012	215.29	219.33	214.46	218.35	3785200	218.35
14/06/2012	215.26	216.5	212.56	214.45	3060900	214.45
13/06/2012	215.52	217.38	213.52	214.73	2325200	214.73
12/06/2012	217.65	218	214.52	216.42	2833300	216.42
11/06/2012	217.49	220.87	215.2	216.5	3749100	216.5
08/06/2012	218.61	219.42	216.66	218.48	2877000	218.48
07/06/2012	219.65	221.49	218.11	218.8	3503900	218.8
