Date	Neutral	Negative	Positive
2011-12-31	2	0	0
2012-01-01	6	1	2
2012-01-02	11	3	4
2012-01-03	31	9	22
2012-01-04	30	5	15
2012-01-05	24	8	11
2012-01-06	14	8	6
2012-01-07	9	1	3
2012-01-08	8	3	1
2012-01-09	31	16	6
2012-01-10	23	8	9
2012-01-11	35	2	17
2012-01-12	20	5	4
2012-01-13	22	10	6
2012-01-14	8	6	10
2012-01-15	11	4	3
2012-01-16	11	2	6
2012-01-17	16	1	2
2012-01-18	28	6	11
2012-01-19	46	8	4
2012-01-20	27	17	6
2012-01-21	12	2	5
2012-01-22	12	1	3
2012-01-23	33	7	3
2012-01-24	14	8	4
2012-01-25	37	13	10
2012-01-26	28	3	4
2012-01-27	18	5	10
2012-01-28	14	3	2
2012-01-29	9	9	1
2012-01-30	17	2	3
2012-01-31	13	6	3
2012-02-01	47	6	8
2012-02-02	25	6	7
2012-02-03	28	2	10
2012-02-04	6	0	1
2012-02-05	8	0	1
2012-02-06	32	3	8
2012-02-07	11	3	5
2012-02-08	19	6	8
2012-02-09	87	3	25
2012-02-10	23	7	10
2012-02-11	12	0	2
2012-02-12	9	3	2
2012-02-13	28	3	30
2012-02-14	26	2	8
2012-02-15	19	3	5
2012-02-16	20	2	7
2012-02-17	22	3	7
2012-02-18	10	2	0
2012-02-19	6	3	1
2012-02-20	8	1	1
2012-02-21	29	3	11
2012-02-22	23	4	6
2012-02-23	28	6	4
2012-02-24	13	2	4
2012-02-25	7	1	2
2012-02-26	7	0	0
2012-02-27	25	9	2
2012-02-28	34	6	13
2012-02-29	16	6	2
2012-03-01	17	4	2
2012-03-02	16	2	4
2012-03-03	9	0	2
2012-03-04	2	0	3
2012-03-05	14	6	2
2012-03-06	34	4	5
2012-03-07	29	3	1
2012-03-08	18	4	4
2012-03-09	23	6	5
2012-03-10	6	1	0
2012-03-11	7	2	0
2012-03-12	18	1	5
2012-03-13	26	6	6
2012-03-14	24	8	6
2012-03-15	17	6	0
2012-03-16	17	6	4
2012-03-17	9	2	1
2012-03-18	9	1	1
2012-03-19	21	7	9
2012-03-20	26	6	1
2012-03-21	22	5	14
2012-03-22	17	2	18
2012-03-23	14	5	2
2012-03-24	2	0	1
2012-03-25	6	0	3
2012-03-26	25	8	5
2012-03-27	26	6	12
2012-03-28	27	9	7
2012-03-29	20	21	3
2012-03-30	16	5	5
2012-03-31	6	6	2
2012-04-01	7	2	0
2012-04-02	21	7	6
2012-04-03	37	6	5
2012-04-04	28	4	14
2012-04-05	48	14	4
2012-04-06	21	4	2
2012-04-07	6	2	1
2012-04-08	12	0	2
2012-04-09	24	12	5
2012-04-10	22	3	6
2012-04-11	38	5	10
2012-04-12	104	21	35
2012-04-13	59	29	19
2012-04-14	11	2	1
2012-04-15	15	3	2
2012-04-16	52	22	4
2012-04-17	42	8	7
2012-04-18	26	11	1
2012-04-19	38	5	3
2012-04-20	33	5	5
2012-04-21	15	10	1
2012-04-22	7	4	1
2012-04-23	40	5	7
2012-04-24	46	6	3
2012-04-25	34	8	2
2012-04-26	25	8	3
2012-04-27	27	14	7
2012-04-28	10	0	1
2012-04-29	7	2	1
2012-04-30	26	6	4
2012-05-01	28	4	5
2012-05-02	13	13	1
2012-05-03	35	2	3
2012-05-04	33	5	3
2012-05-05	5	10	1
2012-05-06	5	4	1
2012-05-07	26	9	3
2012-05-08	24	2	5
2012-05-09	19	5	3
2012-05-10	24	17	2
2012-05-11	23	11	5
2012-05-12	5	0	0
2012-05-13	6	1	1
2012-05-14	23	4	1
2012-05-15	23	8	15
2012-05-16	29	6	22
2012-05-17	21	8	9
2012-05-18	31	10	20
2012-05-19	6	3	0
2012-05-20	7	0	0
2012-05-21	34	11	25
2012-05-22	52	12	9
2012-05-23	51	13	15
2012-05-24	34	4	9
2012-05-25	27	16	8
2012-05-26	2	3	0
2012-05-27	5	1	0
2012-05-28	7	7	1
2012-05-29	24	4	7
2012-05-30	44	4	3
2012-05-31	30	12	9
2012-06-01	32	4	6
2012-06-02	6	1	4
2012-06-03	7	1	4
2012-06-04	40	8	14
2012-06-05	36	14	4
2012-06-06	33	6	3
2012-06-07	26	16	5
2012-06-08	18	10	12
2012-06-09	1	1	3
2012-06-10	6	1	0
2012-06-11	27	39	6
2012-06-12	20	23	8
2012-06-13	17	10	2
2012-06-14	23	7	2
2012-06-15	21	10	0
2012-06-16	2	0	4
2012-06-17	5	1	0
2012-06-18	26	2	0
2012-06-19	27	6	5
2012-06-20	20	4	2
2012-06-21	26	7	3
2012-06-22	35	5	3
2012-06-23	8	2	2
2012-06-24	3	1	1
2012-06-25	31	8	2
2012-06-26	33	11	5
2012-06-27	79	10	14
2012-06-28	61	18	12
2012-06-29	39	4	8
2012-06-30	26	2	6
2012-07-01	9	2	6
2012-07-02	28	1	7
2012-07-03	28	4	1
2012-07-04	10	8	1
2012-07-05	27	6	9
2012-07-06	19	5	3
2012-07-07	7	0	1
2012-07-08	9	2	0
2012-07-09	21	1	5
2012-07-10	21	4	1
2012-07-11	21	11	3
2012-07-12	16	4	8
2012-07-13	16	2	9
2012-07-14	7	0	0
2012-07-15	13	0	2
2012-07-16	68	7	7
2012-07-17	31	1	1
2012-07-18	22	4	3
2012-07-19	78	12	48
2012-07-20	45	6	20
2012-07-21	10	0	2
2012-07-22	11	1	1
2012-07-23	20	5	11
2012-07-24	27	4	3
2012-07-25	22	1	2
2012-07-26	38	1	23
2012-07-27	49	13	6
2012-07-28	8	0	0
2012-07-29	12	1	1
2012-07-30	32	8	2
2012-07-31	53	0	14
2012-08-01	45	1	8
2012-08-02	32	0	7
2012-08-03	23	3	10
2012-08-04	9	0	1
2012-08-05	7	0	2
2012-08-06	32	13	3
2012-08-07	36	7	3
2012-08-08	51	1	8
2012-08-09	21	8	3
2012-08-10	28	1	1
2012-08-11	10	0	0
2012-08-12	5	0	0
2012-08-13	42	21	26
2012-08-14	47	12	20
2012-08-15	38	12	13
2012-08-16	51	3	6
2012-08-17	31	4	9
2012-08-18	16	1	4
2012-08-19	11	1	2
2012-08-20	20	2	3
2012-08-21	35	12	6
2012-08-22	39	8	5
2012-08-23	19	3	8
2012-08-24	26	32	7
2012-08-25	20	10	1
2012-08-26	7	3	2
2012-08-27	36	18	10
2012-08-28	59	6	9
2012-08-29	42	4	18
2012-08-30	47	5	12
2012-08-31	26	3	4
2012-09-01	7	0	1
2012-09-02	6	4	2
2012-09-03	11	3	0
2012-09-04	27	2	8
2012-09-05	15	3	3
2012-09-06	20	7	21
2012-09-07	26	5	29
2012-09-08	5	1	4
2012-09-09	7	2	2
2012-09-10	26	4	5
2012-09-11	24	8	3
2012-09-12	26	12	4
2012-09-13	32	7	9
2012-09-14	37	3	7
2012-09-15	16	2	2
2012-09-16	27	0	0
2012-09-17	8	0	3
2012-09-18	42	0	1
2012-09-19	22	2	3
2012-09-20	45	5	10
2012-09-21	42	4	17
2012-09-22	17	0	1
2012-09-23	7	2	2
2012-09-24	63	10	65
2012-09-25	71	32	24
2012-09-26	55	20	17
2012-09-27	46	16	19
2012-09-28	26	6	9
2012-09-29	11	0	2
2012-09-30	16	1	0
2012-10-01	27	12	28
2012-10-02	31	10	17
2012-10-03	38	13	17
2012-10-04	32	14	16
2012-10-05	21	8	7
2012-10-06	3	0	0
2012-10-07	22	2	5
2012-10-08	44	7	13
2012-10-09	42	10	17
2012-10-10	38	5	8
2012-10-11	35	9	8
2012-10-12	27	18	3
2012-10-13	7	8	1
2012-10-14	14	2	1
2012-10-15	40	26	4
2012-10-16	36	9	8
