Date	Open	High	Low	Close	Volume	Adj Close
31/12/2012	700	710.57	696	707.38	1997400	707.38
28/12/2012	701.69	706.91	700.01	700.01	1402000	700.01
27/12/2012	707.14	708.84	698.61	706.29	1647400	706.29
26/12/2012	708.07	712.88	702.41	708.87	1182400	708.87
24/12/2012	714.51	715.18	707.47	709.5	840900	709.5
21/12/2012	713.97	718.82	710.52	715.63	3526000	715.63
20/12/2012	723.26	724.65	716.97	722.36	1657000	722.36
19/12/2012	720.71	723	716.68	720.11	1918600	720.11
18/12/2012	716.6	729.1	715.05	721.07	3004900	721.07
17/12/2012	705.5	721.92	704.02	720.78	3035400	720.78
14/12/2012	699.17	707.82	698.43	701.96	2130100	701.96
13/12/2012	715.92	716.47	699.55	702.7	3444900	702.7
12/12/2012	699.23	703.51	693.48	697.56	2426000	697.56
11/12/2012	690	701.92	687.72	696.88	2687600	696.88
10/12/2012	685.39	691.65	683.79	685.42	1366700	685.42
07/12/2012	695	696.88	682.42	684.21	1919300	684.21
06/12/2012	687.59	695.61	684.51	691.13	1462300	691.13
05/12/2012	692.15	694.5	682.33	687.82	1862400	687.82
04/12/2012	695	695.51	685.7	691.03	1991700	691.03
03/12/2012	702.24	705.89	694.11	695.25	2192500	695.25
30/11/2012	691.31	699.22	685.69	698.37	3163600	698.37
29/11/2012	687.78	693.9	682	691.89	2776500	691.89
28/11/2012	668.01	684.91	663.89	683.67	3042000	683.67
27/11/2012	660.17	675	658	670.71	2508700	670.71
26/11/2012	666.44	667	659.02	661.15	2204600	661.15
23/11/2012	669.97	670	666.1	667.97	922500	667.97
21/11/2012	668.99	669.8	660.4	665.87	2112200	665.87
20/11/2012	669.51	678	664.57	669.97	2088700	669.97
19/11/2012	655.7	668.92	655.53	668.21	2368200	668.21
16/11/2012	645.99	653.02	636	647.18	3438200	647.18
15/11/2012	650	660	643.9	647.26	1848900	647.26
14/11/2012	660.66	662.18	650.5	652.55	1668400	652.55
13/11/2012	663	667.6	658.23	659.05	1594200	659.05
12/11/2012	663.75	669.8	660.87	665.9	1405900	665.9
09/11/2012	654.65	668.34	650.3	663.03	3114100	663.03
08/11/2012	670.2	671.49	651.23	652.29	2597000	652.29
07/11/2012	675	678.23	666.49	667.12	2232300	667.12
06/11/2012	685.48	686.5	677.55	681.72	1582800	681.72
05/11/2012	684.5	686.86	675.56	682.96	1635900	682.96
02/11/2012	694.79	695.55	687.37	687.92	2324400	687.92
01/11/2012	679.5	690.9	678.72	687.59	2050100	687.59
31/10/2012	679.86	681	675	680.3	1537000	680.3
26/10/2012	676.5	683.03	671.2	675.15	1950800	675.15
25/10/2012	680	682	673.51	677.76	2401100	677.76
24/10/2012	686.8	687	675.27	677.3	2496500	677.3
23/10/2012	672.01	687.33	672	680.35	2916600	680.35
22/10/2012	681.01	684.63	669.7	678.67	4055600	678.67
